"i400sN1_1#002"
""
"Potential (V)";"Current (uA)"
"0";"0.08625"
"0.05";"0.11375"
"0.1";"0.137083"
"0.15";"0.155417"
"0.2";"0.16875"
"0.25";"0.180417"
"0.3";"0.19"
"0.35";"0.2"
"0.4";"0.20875"
"0.45";"0.2225"
"0.5";"0.2375"
"0.55";"0.252917"
"0.6";"0.263333"
"0.65";"0.274167"
"0.7";"0.284583"
"0.75";"0.297083"
"0.8";"0.31625"
"0.85";"0.347083"
"0.9";"0.377083"
"0.95";"0.395417"
"1";"0.400833"
"1.05";"0.404583"
"1.1";"0.41"
"1.15";"0.419167"
"1.2";"0.42875"
"1.25";"0.440417"
"1.3";"0.45125"
"1.35";"0.465417"
"1.4";"0.4825"
"1.45";"0.504167"
"1.5";"0.530417"
"1.55";"0.560833"
"1.6";"0.597083"
"1.65";"0.639583"
"1.7";"0.689167"
"1.75";"0.748333"
"1.8";"0.819583"
"1.85";"0.90125"
"1.9";"0.9925"
"1.95";"1.095833"
"2";"1.217917"
"2.05";"1.362917"
"2.1";"1.540417"
"2.15";"1.764583"
"2.2";"2.049583"
"2.25";"2.412083"
"2.3";"2.874166"
"2.35";"3.466666"
"2.4";"4.2275"
"2.45";"5.1825"
"2.5";"6.2775"
"2.45";"3.635833"
"2.4";"1.920417"
"2.35";"1.218333"
"2.3";"0.861667"
"2.25";"0.654583"
"2.2";"0.5225"
"2.15";"0.429583"
"2.1";"0.361667"
"2.05";"0.30875"
"2";"0.26875"
"1.95";"0.234583"
"1.9";"0.205833"
"1.85";"0.18125"
"1.8";"0.157917"
"1.75";"0.13625"
"1.7";"0.112917"
"1.65";"0.092917"
"1.6";"0.072083"
"1.55";"0.052917"
"1.5";"0.035"
"1.45";"0.019167"
"1.4";"0.005"
"1.35";"-0.011667"
"1.3";"-0.028333"
"1.25";"-0.045833"
"1.2";"-0.0625"
"1.15";"-0.079167"
"1.1";"-0.094583"
"1.05";"-0.11125"
"1";"-0.1275"
"0.95";"-0.144583"
"0.9";"-0.16"
"0.85";"-0.175833"
"0.8";"-0.192083"
"0.75";"-0.207083"
"0.7";"-0.219583"
"0.65";"-0.231667"
"0.6";"-0.2425"
"0.55";"-0.253333"
"0.5";"-0.262083"
"0.45";"-0.270417"
"0.4";"-0.277083"
"0.35";"-0.284583"
"0.3";"-0.292917"
"0.25";"-0.302917"
"0.2";"-0.312083"
"0.15";"-0.320833"
"0.1";"-0.32875"
"0.05";"-0.336667"
"0";"-0.343333"
"-0.05";"-0.35"
"-0.1";"-0.357083"
"-0.15";"-0.365417"
"-0.2";"-0.375417"
"-0.25";"-0.38625"
"-0.3";"-0.397917"
"-0.35";"-0.409583"
"-0.4";"-0.420833"
"-0.45";"-0.432083"
"-0.5";"-0.444583"
"-0.55";"-0.460833"
"-0.6";"-0.484167"
"-0.65";"-0.51875"
"-0.7";"-0.56625"
"-0.75";"-0.618333"
"-0.8";"-0.656667"
"-0.85";"-0.67125"
"-0.9";"-0.66625"
"-0.95";"-0.655833"
"-1";"-0.6475"
"-1.05";"-0.645"
"-1.1";"-0.649167"
"-1.15";"-0.6625"
"-1.2";"-0.67875"
"-1.25";"-0.69625"
"-1.3";"-0.706667"
"-1.35";"-0.714167"
"-1.4";"-0.720417"
"-1.45";"-0.730833"
"-1.5";"-0.750417"
"-1.55";"-0.770417"
"-1.6";"-0.792083"
"-1.65";"-0.808333"
"-1.7";"-0.825833"
"-1.75";"-0.841667"
"-1.8";"-0.857083"
"-1.85";"-0.876667"
"-1.9";"-0.901667"
"-1.95";"-0.927917"
"-2";"-0.9525"
"-2.05";"-0.977083"
"-2.1";"-1.00625"
"-2.15";"-1.042083"
"-2.2";"-1.08125"
"-2.25";"-1.120417"
"-2.3";"-1.15625"
"-2.35";"-1.19125"
"-2.4";"-1.235"
"-2.45";"-1.292083"
"-2.5";"-1.36125"
"-2.45";"-1.0025"
"-2.4";"-0.757917"
"-2.35";"-0.644583"
"-2.3";"-0.587917"
"-2.25";"-0.5575"
"-2.2";"-0.534583"
"-2.15";"-0.509167"
"-2.1";"-0.480833"
"-2.05";"-0.454167"
"-2";"-0.434167"
"-1.95";"-0.419167"
"-1.9";"-0.40875"
"-1.85";"-0.39875"
"-1.8";"-0.3875"
"-1.75";"-0.375"
"-1.7";"-0.36625"
"-1.65";"-0.361667"
"-1.6";"-0.36"
"-1.55";"-0.3525"
"-1.5";"-0.340833"
"-1.45";"-0.32375"
"-1.4";"-0.309167"
"-1.35";"-0.297917"
"-1.3";"-0.290833"
"-1.25";"-0.287917"
"-1.2";"-0.28625"
"-1.15";"-0.283333"
"-1.1";"-0.272083"
"-1.05";"-0.254583"
"-1";"-0.23375"
"-0.95";"-0.214583"
"-0.9";"-0.1975"
"-0.85";"-0.175417"
"-0.8";"-0.13125"
"-0.75";"-0.065417"
"-0.7";"-0.002917"
"-0.65";"0.034167"
"-0.6";"0.045833"
"-0.55";"0.05125"
"-0.5";"0.0575"
"-0.45";"0.06375"
"-0.4";"0.071667"
"-0.35";"0.079167"
"-0.3";"0.088333"
"-0.25";"0.097083"
"-0.2";"0.105833"
"-0.15";"0.114583"
"-0.1";"0.1225"
"-0.05";"0.130417"
"0";"0.1375"
