"i400sN1_1#032"
""
"Potential (V)";"Current (uA)"
"0";"0.15625"
"0.05";"0.189583"
"0.1";"0.216667"
"0.15";"0.237083"
"0.2";"0.253333"
"0.25";"0.267917"
"0.3";"0.280833"
"0.35";"0.292083"
"0.4";"0.3025"
"0.45";"0.3125"
"0.5";"0.3225"
"0.55";"0.3325"
"0.6";"0.34375"
"0.65";"0.355833"
"0.7";"0.370417"
"0.75";"0.387917"
"0.8";"0.418333"
"0.85";"0.469583"
"0.9";"0.523333"
"0.95";"0.56375"
"1";"0.579583"
"1.05";"0.59"
"1.1";"0.601667"
"1.15";"0.6175"
"1.2";"0.635417"
"1.25";"0.655833"
"1.3";"0.677917"
"1.35";"0.702083"
"1.4";"0.7275"
"1.45";"0.75625"
"1.5";"0.789167"
"1.55";"0.8275"
"1.6";"0.869167"
"1.65";"0.915"
"1.7";"0.966667"
"1.75";"1.027083"
"1.8";"1.097917"
"1.85";"1.178333"
"1.9";"1.270417"
"1.95";"1.375417"
"2";"1.499583"
"2.05";"1.643333"
"2.1";"1.810417"
"2.15";"2.009583"
"2.2";"2.257917"
"2.25";"2.57625"
"2.3";"2.988333"
"2.35";"3.52125"
"2.4";"4.20875"
"2.45";"5.075833"
"2.5";"6.0725"
"2.45";"3.734166"
"2.4";"2.215417"
"2.35";"1.590833"
"2.3";"1.2675"
"2.25";"1.071667"
"2.2";"0.94"
"2.15";"0.843333"
"2.1";"0.76625"
"2.05";"0.700833"
"2";"0.642917"
"1.95";"0.591667"
"1.9";"0.545417"
"1.85";"0.5025"
"1.8";"0.461667"
"1.75";"0.421667"
"1.7";"0.382083"
"1.65";"0.3425"
"1.6";"0.304167"
"1.55";"0.266667"
"1.5";"0.230833"
"1.45";"0.194583"
"1.4";"0.15875"
"1.35";"0.124583"
"1.3";"0.090417"
"1.25";"0.0575"
"1.2";"0.022917"
"1.15";"-0.010417"
"1.1";"-0.045"
"1.05";"-0.08125"
"1";"-0.121667"
"0.95";"-0.167083"
"0.9";"-0.214583"
"0.85";"-0.26"
"0.8";"-0.298333"
"0.75";"-0.330417"
"0.7";"-0.356667"
"0.65";"-0.37875"
"0.6";"-0.3975"
"0.55";"-0.415"
"0.5";"-0.4325"
"0.45";"-0.449583"
"0.4";"-0.467083"
"0.35";"-0.485417"
"0.3";"-0.504167"
"0.25";"-0.5225"
"0.2";"-0.539583"
"0.15";"-0.556667"
"0.1";"-0.574167"
"0.05";"-0.592917"
"0";"-0.613333"
"-0.05";"-0.635417"
"-0.1";"-0.657917"
"-0.15";"-0.68125"
"-0.2";"-0.705417"
"-0.25";"-0.734583"
"-0.3";"-0.768333"
"-0.35";"-0.807917"
"-0.4";"-0.85625"
"-0.45";"-0.911667"
"-0.5";"-0.974583"
"-0.55";"-1.03875"
"-0.6";"-1.105417"
"-0.65";"-1.16625"
"-0.7";"-1.211667"
"-0.75";"-1.235417"
"-0.8";"-1.24"
"-0.85";"-1.232917"
"-0.9";"-1.220417"
"-0.95";"-1.206667"
"-1";"-1.194583"
"-1.05";"-1.185833"
"-1.1";"-1.18"
"-1.15";"-1.176667"
"-1.2";"-1.174583"
"-1.25";"-1.175"
"-1.3";"-1.1775"
"-1.35";"-1.182083"
"-1.4";"-1.187083"
"-1.45";"-1.1925"
"-1.5";"-1.198333"
"-1.55";"-1.204167"
"-1.6";"-1.209583"
"-1.65";"-1.214167"
"-1.7";"-1.218333"
"-1.75";"-1.223333"
"-1.8";"-1.229167"
"-1.85";"-1.235833"
"-1.9";"-1.244583"
"-1.95";"-1.255"
"-2";"-1.26875"
"-2.05";"-1.285833"
"-2.1";"-1.3075"
"-2.15";"-1.33125"
"-2.2";"-1.35375"
"-2.25";"-1.375833"
"-2.3";"-1.400833"
"-2.35";"-1.432083"
"-2.4";"-1.470833"
"-2.45";"-1.518333"
"-2.5";"-1.5725"
"-2.45";"-1.270417"
"-2.4";"-1.05625"
"-2.35";"-0.939583"
"-2.3";"-0.862917"
"-2.25";"-0.805417"
"-2.2";"-0.758333"
"-2.15";"-0.717083"
"-2.1";"-0.680417"
"-2.05";"-0.647917"
"-2";"-0.618333"
"-1.95";"-0.590417"
"-1.9";"-0.564167"
"-1.85";"-0.53875"
"-1.8";"-0.51375"
"-1.75";"-0.48875"
"-1.7";"-0.465"
"-1.65";"-0.4425"
"-1.6";"-0.420833"
"-1.55";"-0.399583"
"-1.5";"-0.378333"
"-1.45";"-0.358333"
"-1.4";"-0.338333"
"-1.35";"-0.32"
"-1.3";"-0.302917"
"-1.25";"-0.286667"
"-1.2";"-0.270417"
"-1.15";"-0.25375"
"-1.1";"-0.238333"
"-1.05";"-0.2225"
"-1";"-0.207083"
"-0.95";"-0.19"
"-0.9";"-0.170417"
"-0.85";"-0.139167"
"-0.8";"-0.085833"
"-0.75";"-0.015417"
"-0.7";"0.046667"
"-0.65";"0.082917"
"-0.6";"0.095833"
"-0.55";"0.102917"
"-0.5";"0.109583"
"-0.45";"0.1175"
"-0.4";"0.12625"
"-0.35";"0.135417"
"-0.3";"0.145"
"-0.25";"0.155"
"-0.2";"0.165833"
"-0.15";"0.176667"
"-0.1";"0.187917"
"-0.05";"0.2"
"0";"0.2125"
