"i400sN1_1#016"
""
"Potential (V)";"Current (uA)"
"0";"0.11"
"0.05";"0.165417"
"0.1";"0.212917"
"0.15";"0.251667"
"0.2";"0.288333"
"0.25";"0.32375"
"0.3";"0.36"
"0.35";"0.395833"
"0.4";"0.433333"
"0.45";"0.4725"
"0.5";"0.512917"
"0.55";"0.552917"
"0.6";"0.592083"
"0.65";"0.632083"
"0.7";"0.675"
"0.75";"0.72"
"0.8";"0.769583"
"0.85";"0.82625"
"0.9";"0.89"
"0.95";"0.9575"
"1";"1.020833"
"1.05";"1.076667"
"1.1";"1.124583"
"1.15";"1.16625"
"1.2";"1.203333"
"1.25";"1.23625"
"1.3";"1.267083"
"1.35";"1.297083"
"1.4";"1.3275"
"1.45";"1.36"
"1.5";"1.397083"
"1.55";"1.437917"
"1.6";"1.484583"
"1.65";"1.535833"
"1.7";"1.595417"
"1.75";"1.664583"
"1.8";"1.744167"
"1.85";"1.835833"
"1.9";"1.939583"
"1.95";"2.062083"
"2";"2.207083"
"2.05";"2.382083"
"2.1";"2.58875"
"2.15";"2.832916"
"2.2";"3.117917"
"2.25";"3.453334"
"2.3";"3.840417"
"2.35";"4.280833"
"2.4";"4.77125"
"2.45";"5.31125"
"2.5";"5.88375"
"2.45";"3.92625"
"2.4";"2.635"
"2.35";"2.0725"
"2.3";"1.753333"
"2.25";"1.53875"
"2.2";"1.3775"
"2.15";"1.245417"
"2.1";"1.13375"
"2.05";"1.032917"
"2";"0.94125"
"1.95";"0.855417"
"1.9";"0.774167"
"1.85";"0.69625"
"1.8";"0.62125"
"1.75";"0.549167"
"1.7";"0.480417"
"1.65";"0.413333"
"1.6";"0.348333"
"1.55";"0.28375"
"1.5";"0.222917"
"1.45";"0.164583"
"1.4";"0.109583"
"1.35";"0.055417"
"1.3";"0.00375"
"1.25";"-0.047083"
"1.2";"-0.09875"
"1.15";"-0.1525"
"1.1";"-0.208333"
"1.05";"-0.265417"
"1";"-0.32625"
"0.95";"-0.391667"
"0.9";"-0.462083"
"0.85";"-0.533333"
"0.8";"-0.600833"
"0.75";"-0.663333"
"0.7";"-0.721667"
"0.65";"-0.7775"
"0.6";"-0.833333"
"0.55";"-0.887917"
"0.5";"-0.94375"
"0.45";"-0.998333"
"0.4";"-1.052917"
"0.35";"-1.1075"
"0.3";"-1.162917"
"0.25";"-1.219167"
"0.2";"-1.275"
"0.15";"-1.3275"
"0.1";"-1.377083"
"0.05";"-1.423333"
"0";"-1.46875"
"-0.05";"-1.512083"
"-0.1";"-1.553333"
"-0.15";"-1.592083"
"-0.2";"-1.63"
"-0.25";"-1.663333"
"-0.3";"-1.69"
"-0.35";"-1.7075"
"-0.4";"-1.72125"
"-0.45";"-1.73625"
"-0.5";"-1.755833"
"-0.55";"-1.781667"
"-0.6";"-1.812917"
"-0.65";"-1.85"
"-0.7";"-1.887917"
"-0.75";"-1.917917"
"-0.8";"-1.934583"
"-0.85";"-1.936667"
"-0.9";"-1.93125"
"-0.95";"-1.924167"
"-1";"-1.918333"
"-1.05";"-1.91625"
"-1.1";"-1.916667"
"-1.15";"-1.920417"
"-1.2";"-1.92625"
"-1.25";"-1.934167"
"-1.3";"-1.945"
"-1.35";"-1.9575"
"-1.4";"-1.97125"
"-1.45";"-1.987083"
"-1.5";"-2.005417"
"-1.55";"-2.025417"
"-1.6";"-2.04625"
"-1.65";"-2.068333"
"-1.7";"-2.093333"
"-1.75";"-2.123333"
"-1.8";"-2.156667"
"-1.85";"-2.192917"
"-1.9";"-2.23"
"-1.95";"-2.27"
"-2";"-2.313333"
"-2.05";"-2.36125"
"-2.1";"-2.415"
"-2.15";"-2.475416"
"-2.2";"-2.5425"
"-2.25";"-2.617083"
"-2.3";"-2.699167"
"-2.35";"-2.79125"
"-2.4";"-2.894167"
"-2.45";"-3.01125"
"-2.5";"-3.1375"
"-2.45";"-2.610417"
"-2.4";"-2.221667"
"-2.35";"-1.9925"
"-2.3";"-1.8325"
"-2.25";"-1.710833"
"-2.2";"-1.611667"
"-2.15";"-1.526667"
"-2.1";"-1.452083"
"-2.05";"-1.383333"
"-2";"-1.32125"
"-1.95";"-1.26125"
"-1.9";"-1.20375"
"-1.85";"-1.146667"
"-1.8";"-1.092083"
"-1.75";"-1.039167"
"-1.7";"-0.988333"
"-1.65";"-0.93875"
"-1.6";"-0.89125"
"-1.55";"-0.845"
"-1.5";"-0.8"
"-1.45";"-0.75625"
"-1.4";"-0.71375"
"-1.35";"-0.67375"
"-1.3";"-0.635"
"-1.25";"-0.597917"
"-1.2";"-0.562083"
"-1.15";"-0.5275"
"-1.1";"-0.492917"
"-1.05";"-0.46"
"-1";"-0.427083"
"-0.95";"-0.394167"
"-0.9";"-0.357917"
"-0.85";"-0.314167"
"-0.8";"-0.252917"
"-0.75";"-0.1775"
"-0.7";"-0.10875"
"-0.65";"-0.062917"
"-0.6";"-0.038333"
"-0.55";"-0.019583"
"-0.5";"-0.00125"
"-0.45";"0.0175"
"-0.4";"0.036667"
"-0.35";"0.057083"
"-0.3";"0.078333"
"-0.25";"0.1"
"-0.2";"0.123333"
"-0.15";"0.1475"
"-0.1";"0.173333"
"-0.05";"0.199167"
"0";"0.22625"
