"i400sN1_1#036"
""
"Potential (V)";"Current (uA)"
"0";"0.14125"
"0.05";"0.171667"
"0.1";"0.19625"
"0.15";"0.214583"
"0.2";"0.228333"
"0.25";"0.24"
"0.3";"0.249583"
"0.35";"0.259583"
"0.4";"0.269167"
"0.45";"0.27875"
"0.5";"0.289167"
"0.55";"0.300417"
"0.6";"0.313333"
"0.65";"0.327083"
"0.7";"0.3425"
"0.75";"0.361667"
"0.8";"0.390833"
"0.85";"0.433333"
"0.9";"0.475"
"0.95";"0.5075"
"1";"0.5275"
"1.05";"0.54625"
"1.1";"0.565"
"1.15";"0.583333"
"1.2";"0.6025"
"1.25";"0.622917"
"1.3";"0.645417"
"1.35";"0.67"
"1.4";"0.698333"
"1.45";"0.731667"
"1.5";"0.770833"
"1.55";"0.81625"
"1.6";"0.8675"
"1.65";"0.925"
"1.7";"0.988333"
"1.75";"1.056667"
"1.8";"1.1325"
"1.85";"1.215"
"1.9";"1.308333"
"1.95";"1.413333"
"2";"1.535417"
"2.05";"1.67875"
"2.1";"1.8475"
"2.15";"2.053334"
"2.2";"2.309583"
"2.25";"2.636667"
"2.3";"3.059167"
"2.35";"3.602083"
"2.4";"4.299583"
"2.45";"5.17125"
"2.5";"6.17"
"2.45";"3.765416"
"2.4";"2.202917"
"2.35";"1.560833"
"2.3";"1.229167"
"2.25";"1.03"
"2.2";"0.895"
"2.15";"0.795417"
"2.1";"0.717083"
"2.05";"0.653333"
"2";"0.599167"
"1.95";"0.55125"
"1.9";"0.506667"
"1.85";"0.46375"
"1.8";"0.422083"
"1.75";"0.382083"
"1.7";"0.34375"
"1.65";"0.305833"
"1.6";"0.269167"
"1.55";"0.234167"
"1.5";"0.20125"
"1.45";"0.16875"
"1.4";"0.135417"
"1.35";"0.1025"
"1.3";"0.070417"
"1.25";"0.03875"
"1.2";"0.00875"
"1.15";"-0.023333"
"1.1";"-0.055833"
"1.05";"-0.092917"
"1";"-0.134167"
"0.95";"-0.180417"
"0.9";"-0.229167"
"0.85";"-0.276667"
"0.8";"-0.317917"
"0.75";"-0.354167"
"0.7";"-0.383333"
"0.65";"-0.409167"
"0.6";"-0.430833"
"0.55";"-0.45"
"0.5";"-0.4675"
"0.45";"-0.4825"
"0.4";"-0.4975"
"0.35";"-0.512083"
"0.3";"-0.527917"
"0.25";"-0.54375"
"0.2";"-0.559167"
"0.15";"-0.573333"
"0.1";"-0.58625"
"0.05";"-0.599583"
"0";"-0.614583"
"-0.05";"-0.63"
"-0.1";"-0.645833"
"-0.15";"-0.6625"
"-0.2";"-0.680833"
"-0.25";"-0.70125"
"-0.3";"-0.724583"
"-0.35";"-0.752083"
"-0.4";"-0.78375"
"-0.45";"-0.82"
"-0.5";"-0.86125"
"-0.55";"-0.903333"
"-0.6";"-0.940417"
"-0.65";"-0.968333"
"-0.7";"-0.986667"
"-0.75";"-0.997083"
"-0.8";"-1.002083"
"-0.85";"-1.005833"
"-0.9";"-1.009167"
"-0.95";"-1.01375"
"-1";"-1.01875"
"-1.05";"-1.024583"
"-1.1";"-1.030833"
"-1.15";"-1.03625"
"-1.2";"-1.041667"
"-1.25";"-1.046667"
"-1.3";"-1.051667"
"-1.35";"-1.055417"
"-1.4";"-1.058333"
"-1.45";"-1.060417"
"-1.5";"-1.06125"
"-1.55";"-1.060833"
"-1.6";"-1.059583"
"-1.65";"-1.059167"
"-1.7";"-1.058333"
"-1.75";"-1.057917"
"-1.8";"-1.0575"
"-1.85";"-1.057917"
"-1.9";"-1.06"
"-1.95";"-1.0625"
"-2";"-1.066667"
"-2.05";"-1.07125"
"-2.1";"-1.077917"
"-2.15";"-1.08625"
"-2.2";"-1.09875"
"-2.25";"-1.11375"
"-2.3";"-1.13375"
"-2.35";"-1.157083"
"-2.4";"-1.18875"
"-2.45";"-1.23"
"-2.5";"-1.28"
"-2.45";"-1.027917"
"-2.4";"-0.850417"
"-2.35";"-0.755"
"-2.3";"-0.691667"
"-2.25";"-0.643333"
"-2.2";"-0.604583"
"-2.15";"-0.57125"
"-2.1";"-0.5425"
"-2.05";"-0.51625"
"-2";"-0.492083"
"-1.95";"-0.469167"
"-1.9";"-0.447917"
"-1.85";"-0.427917"
"-1.8";"-0.409167"
"-1.75";"-0.390417"
"-1.7";"-0.372083"
"-1.65";"-0.353333"
"-1.6";"-0.335833"
"-1.55";"-0.31875"
"-1.5";"-0.301667"
"-1.45";"-0.285"
"-1.4";"-0.268333"
"-1.35";"-0.25125"
"-1.3";"-0.233333"
"-1.25";"-0.215417"
"-1.2";"-0.197917"
"-1.15";"-0.180833"
"-1.1";"-0.163333"
"-1.05";"-0.146667"
"-1";"-0.13"
"-0.95";"-0.11375"
"-0.9";"-0.0975"
"-0.85";"-0.080417"
"-0.8";"-0.059583"
"-0.75";"-0.034583"
"-0.7";"-0.008333"
"-0.65";"0.015417"
"-0.6";"0.034583"
"-0.55";"0.050833"
"-0.5";"0.064583"
"-0.45";"0.077917"
"-0.4";"0.090417"
"-0.35";"0.103333"
"-0.3";"0.115417"
"-0.25";"0.12875"
"-0.2";"0.141667"
"-0.15";"0.155"
"-0.1";"0.1675"
"-0.05";"0.180417"
"0";"0.19375"
