"i400sN1_1#024"
""
"Potential (V)";"Current (uA)"
"0";"0.1625"
"0.05";"0.1975"
"0.1";"0.225833"
"0.15";"0.246667"
"0.2";"0.262083"
"0.25";"0.274583"
"0.3";"0.285417"
"0.35";"0.295"
"0.4";"0.304583"
"0.45";"0.31375"
"0.5";"0.322917"
"0.55";"0.332083"
"0.6";"0.342083"
"0.65";"0.35375"
"0.7";"0.367083"
"0.75";"0.382917"
"0.8";"0.405417"
"0.85";"0.44125"
"0.9";"0.480417"
"0.95";"0.511667"
"1";"0.526667"
"1.05";"0.536667"
"1.1";"0.54875"
"1.15";"0.564583"
"1.2";"0.581667"
"1.25";"0.600833"
"1.3";"0.622917"
"1.35";"0.646667"
"1.4";"0.673333"
"1.45";"0.702917"
"1.5";"0.737917"
"1.55";"0.779167"
"1.6";"0.824583"
"1.65";"0.875417"
"1.7";"0.930833"
"1.75";"0.992083"
"1.8";"1.058333"
"1.85";"1.129583"
"1.9";"1.207917"
"1.95";"1.295833"
"2";"1.3975"
"2.05";"1.52"
"2.1";"1.6675"
"2.15";"1.850833"
"2.2";"2.079167"
"2.25";"2.36625"
"2.3";"2.729583"
"2.35";"3.18875"
"2.4";"3.769167"
"2.45";"4.487916"
"2.5";"5.30625"
"2.45";"3.260417"
"2.4";"1.9425"
"2.35";"1.417083"
"2.3";"1.150417"
"2.25";"0.99125"
"2.2";"0.882917"
"2.15";"0.801667"
"2.1";"0.7375"
"2.05";"0.68375"
"2";"0.635417"
"1.95";"0.59"
"1.9";"0.547083"
"1.85";"0.506667"
"1.8";"0.468333"
"1.75";"0.43"
"1.7";"0.39125"
"1.65";"0.3525"
"1.6";"0.31625"
"1.55";"0.28125"
"1.5";"0.246667"
"1.45";"0.212083"
"1.4";"0.179167"
"1.35";"0.146667"
"1.3";"0.11375"
"1.25";"0.079583"
"1.2";"0.045"
"1.15";"0.01"
"1.1";"-0.025"
"1.05";"-0.061667"
"1";"-0.1025"
"0.95";"-0.149167"
"0.9";"-0.19875"
"0.85";"-0.247917"
"0.8";"-0.292917"
"0.75";"-0.330833"
"0.7";"-0.3625"
"0.65";"-0.387917"
"0.6";"-0.41"
"0.55";"-0.428333"
"0.5";"-0.445833"
"0.45";"-0.462917"
"0.4";"-0.480833"
"0.35";"-0.49875"
"0.3";"-0.517917"
"0.25";"-0.535833"
"0.2";"-0.55375"
"0.15";"-0.571667"
"0.1";"-0.59125"
"0.05";"-0.611667"
"0";"-0.6325"
"-0.05";"-0.654583"
"-0.1";"-0.67625"
"-0.15";"-0.699583"
"-0.2";"-0.722083"
"-0.25";"-0.7475"
"-0.3";"-0.77375"
"-0.35";"-0.802083"
"-0.4";"-0.830417"
"-0.45";"-0.85875"
"-0.5";"-0.885417"
"-0.55";"-0.909583"
"-0.6";"-0.929583"
"-0.65";"-0.94625"
"-0.7";"-0.959583"
"-0.75";"-0.969583"
"-0.8";"-0.9775"
"-0.85";"-0.984583"
"-0.9";"-0.99125"
"-0.95";"-0.9975"
"-1";"-1.0025"
"-1.05";"-1.007917"
"-1.1";"-1.0125"
"-1.15";"-1.0175"
"-1.2";"-1.021667"
"-1.25";"-1.025833"
"-1.3";"-1.02875"
"-1.35";"-1.030833"
"-1.4";"-1.0325"
"-1.45";"-1.034583"
"-1.5";"-1.035833"
"-1.55";"-1.037083"
"-1.6";"-1.037083"
"-1.65";"-1.0375"
"-1.7";"-1.037917"
"-1.75";"-1.037917"
"-1.8";"-1.038333"
"-1.85";"-1.037917"
"-1.9";"-1.03875"
"-1.95";"-1.040833"
"-2";"-1.045833"
"-2.05";"-1.052917"
"-2.1";"-1.06"
"-2.15";"-1.067083"
"-2.2";"-1.075"
"-2.25";"-1.085833"
"-2.3";"-1.10125"
"-2.35";"-1.122083"
"-2.4";"-1.15"
"-2.45";"-1.187083"
"-2.5";"-1.23125"
"-2.45";"-1.00875"
"-2.4";"-0.848333"
"-2.35";"-0.7575"
"-2.3";"-0.693333"
"-2.25";"-0.642917"
"-2.2";"-0.600833"
"-2.15";"-0.563333"
"-2.1";"-0.528333"
"-2.05";"-0.495417"
"-2";"-0.465"
"-1.95";"-0.437917"
"-1.9";"-0.41375"
"-1.85";"-0.390417"
"-1.8";"-0.368333"
"-1.75";"-0.34625"
"-1.7";"-0.325417"
"-1.65";"-0.305417"
"-1.6";"-0.28625"
"-1.55";"-0.266667"
"-1.5";"-0.2475"
"-1.45";"-0.228333"
"-1.4";"-0.210833"
"-1.35";"-0.1925"
"-1.3";"-0.175417"
"-1.25";"-0.1575"
"-1.2";"-0.14"
"-1.15";"-0.122917"
"-1.1";"-0.105"
"-1.05";"-0.088333"
"-1";"-0.070833"
"-0.95";"-0.055"
"-0.9";"-0.039583"
"-0.85";"-0.024167"
"-0.8";"-0.009167"
"-0.75";"0.00625"
"-0.7";"0.021667"
"-0.65";"0.037917"
"-0.6";"0.053333"
"-0.55";"0.068333"
"-0.5";"0.082083"
"-0.45";"0.095833"
"-0.4";"0.109583"
"-0.35";"0.12375"
"-0.3";"0.138333"
"-0.25";"0.152917"
"-0.2";"0.167083"
"-0.15";"0.180833"
"-0.1";"0.19375"
"-0.05";"0.2075"
"0";"0.2225"
