"i400sN1_1#028"
""
"Potential (V)";"Current (uA)"
"0";"0.25875"
"0.05";"0.310417"
"0.1";"0.351667"
"0.15";"0.38"
"0.2";"0.399167"
"0.25";"0.413333"
"0.3";"0.424583"
"0.35";"0.435"
"0.4";"0.444583"
"0.45";"0.45375"
"0.5";"0.46375"
"0.55";"0.475417"
"0.6";"0.487917"
"0.65";"0.502083"
"0.7";"0.52"
"0.75";"0.54375"
"0.8";"0.586667"
"0.85";"0.671667"
"0.9";"0.78125"
"0.95";"0.8725"
"1";"0.913333"
"1.05";"0.92375"
"1.1";"0.934167"
"1.15";"0.958333"
"1.2";"0.997917"
"1.25";"1.04875"
"1.3";"1.101667"
"1.35";"1.147917"
"1.4";"1.18875"
"1.45";"1.229583"
"1.5";"1.277917"
"1.55";"1.335417"
"1.6";"1.4"
"1.65";"1.470417"
"1.7";"1.549583"
"1.75";"1.6425"
"1.8";"1.74875"
"1.85";"1.86875"
"1.9";"2.005"
"1.95";"2.164583"
"2";"2.375833"
"2.05";"2.664583"
"2.1";"2.98125"
"2.15";"3.27"
"2.2";"3.51625"
"2.25";"3.78875"
"2.3";"4.1475"
"2.35";"4.612917"
"2.4";"5.207917"
"2.45";"5.949584"
"2.5";"6.7975"
"2.45";"4.30875"
"2.4";"2.681667"
"2.35";"1.993333"
"2.3";"1.62625"
"2.25";"1.394583"
"2.2";"1.227917"
"2.15";"1.077083"
"2.1";"0.931667"
"2.05";"0.802083"
"2";"0.705417"
"1.95";"0.6375"
"1.9";"0.582083"
"1.85";"0.532083"
"1.8";"0.48375"
"1.75";"0.437917"
"1.7";"0.39125"
"1.65";"0.3475"
"1.6";"0.303333"
"1.55";"0.262083"
"1.5";"0.22125"
"1.45";"0.183333"
"1.4";"0.145417"
"1.35";"0.107917"
"1.3";"0.070417"
"1.25";"0.034167"
"1.2";"-0.000833"
"1.15";"-0.036667"
"1.1";"-0.075"
"1.05";"-0.118333"
"1";"-0.167917"
"0.95";"-0.224167"
"0.9";"-0.284167"
"0.85";"-0.344167"
"0.8";"-0.39875"
"0.75";"-0.448333"
"0.7";"-0.492917"
"0.65";"-0.535833"
"0.6";"-0.577083"
"0.55";"-0.618333"
"0.5";"-0.6575"
"0.45";"-0.6925"
"0.4";"-0.722917"
"0.35";"-0.749583"
"0.3";"-0.775"
"0.25";"-0.7975"
"0.2";"-0.81875"
"0.15";"-0.838333"
"0.1";"-0.858333"
"0.05";"-0.877917"
"0";"-0.8975"
"-0.05";"-0.915833"
"-0.1";"-0.933333"
"-0.15";"-0.95125"
"-0.2";"-0.969583"
"-0.25";"-0.99"
"-0.3";"-1.012083"
"-0.35";"-1.035833"
"-0.4";"-1.062083"
"-0.45";"-1.0925"
"-0.5";"-1.129583"
"-0.55";"-1.172083"
"-0.6";"-1.215"
"-0.65";"-1.25"
"-0.7";"-1.270833"
"-0.75";"-1.2775"
"-0.8";"-1.2775"
"-0.85";"-1.2775"
"-0.9";"-1.280417"
"-0.95";"-1.28625"
"-1";"-1.293333"
"-1.05";"-1.301667"
"-1.1";"-1.31"
"-1.15";"-1.318333"
"-1.2";"-1.327083"
"-1.25";"-1.336667"
"-1.3";"-1.34875"
"-1.35";"-1.361667"
"-1.4";"-1.375417"
"-1.45";"-1.387083"
"-1.5";"-1.3975"
"-1.55";"-1.405833"
"-1.6";"-1.41375"
"-1.65";"-1.421667"
"-1.7";"-1.428333"
"-1.75";"-1.434583"
"-1.8";"-1.440417"
"-1.85";"-1.44625"
"-1.9";"-1.4525"
"-1.95";"-1.458333"
"-2";"-1.465"
"-2.05";"-1.470833"
"-2.1";"-1.475"
"-2.15";"-1.478333"
"-2.2";"-1.48"
"-2.25";"-1.484167"
"-2.3";"-1.49375"
"-2.35";"-1.515"
"-2.4";"-1.547917"
"-2.45";"-1.594583"
"-2.5";"-1.65"
"-2.45";"-1.249167"
"-2.4";"-0.9625"
"-2.35";"-0.804583"
"-2.3";"-0.703333"
"-2.25";"-0.630417"
"-2.2";"-0.57375"
"-2.15";"-0.5275"
"-2.1";"-0.4875"
"-2.05";"-0.453333"
"-2";"-0.420833"
"-1.95";"-0.391667"
"-1.9";"-0.364583"
"-1.85";"-0.34"
"-1.8";"-0.317083"
"-1.75";"-0.294583"
"-1.7";"-0.27375"
"-1.65";"-0.2525"
"-1.6";"-0.232917"
"-1.55";"-0.212917"
"-1.5";"-0.195"
"-1.45";"-0.1775"
"-1.4";"-0.160833"
"-1.35";"-0.144167"
"-1.3";"-0.126667"
"-1.25";"-0.109167"
"-1.2";"-0.092083"
"-1.15";"-0.075833"
"-1.1";"-0.059167"
"-1.05";"-0.042917"
"-1";"-0.0275"
"-0.95";"-0.0125"
"-0.9";"0.0025"
"-0.85";"0.019167"
"-0.8";"0.035"
"-0.75";"0.052083"
"-0.7";"0.06875"
"-0.65";"0.08625"
"-0.6";"0.103333"
"-0.55";"0.120833"
"-0.5";"0.137917"
"-0.45";"0.155417"
"-0.4";"0.172083"
"-0.35";"0.189583"
"-0.3";"0.206667"
"-0.25";"0.224583"
"-0.2";"0.242083"
"-0.15";"0.260417"
"-0.1";"0.278333"
"-0.05";"0.296667"
"0";"0.315"
