"i400sN1_1#007"
""
"Potential (V)";"Current (uA)"
"0";"0.08125"
"0.05";"0.110417"
"0.1";"0.1325"
"0.15";"0.148333"
"0.2";"0.1575"
"0.25";"0.166667"
"0.3";"0.174167"
"0.35";"0.182083"
"0.4";"0.189583"
"0.45";"0.200833"
"0.5";"0.215417"
"0.55";"0.230833"
"0.6";"0.243333"
"0.65";"0.251667"
"0.7";"0.259167"
"0.75";"0.268333"
"0.8";"0.28625"
"0.85";"0.316667"
"0.9";"0.347083"
"0.95";"0.36625"
"1";"0.3725"
"1.05";"0.377083"
"1.1";"0.384583"
"1.15";"0.393333"
"1.2";"0.40375"
"1.25";"0.416667"
"1.3";"0.429583"
"1.35";"0.444167"
"1.4";"0.459583"
"1.45";"0.48"
"1.5";"0.504167"
"1.55";"0.535"
"1.6";"0.569583"
"1.65";"0.615833"
"1.7";"0.675833"
"1.75";"0.755833"
"1.8";"0.839167"
"1.85";"0.9175"
"1.9";"0.985417"
"1.95";"1.054167"
"2";"1.135417"
"2.05";"1.237917"
"2.1";"1.370833"
"2.15";"1.543333"
"2.2";"1.772083"
"2.25";"2.076667"
"2.3";"2.485833"
"2.35";"3.0275"
"2.4";"3.742917"
"2.45";"4.66375"
"2.5";"5.73625"
"2.45";"3.334167"
"2.4";"1.779583"
"2.35";"1.150833"
"2.3";"0.83625"
"2.25";"0.655833"
"2.2";"0.540417"
"2.15";"0.462917"
"2.1";"0.404583"
"2.05";"0.360833"
"2";"0.323333"
"1.95";"0.2925"
"1.9";"0.261667"
"1.85";"0.225417"
"1.8";"0.180417"
"1.75";"0.134583"
"1.7";"0.097917"
"1.65";"0.071667"
"1.6";"0.052917"
"1.55";"0.034167"
"1.5";"0.017917"
"1.45";"0"
"1.4";"-0.01625"
"1.35";"-0.031667"
"1.3";"-0.045833"
"1.25";"-0.059583"
"1.2";"-0.072917"
"1.15";"-0.085417"
"1.1";"-0.09875"
"1.05";"-0.112917"
"1";"-0.128333"
"0.95";"-0.146667"
"0.9";"-0.164583"
"0.85";"-0.1825"
"0.8";"-0.195833"
"0.75";"-0.209583"
"0.7";"-0.220833"
"0.65";"-0.23125"
"0.6";"-0.240417"
"0.55";"-0.250833"
"0.5";"-0.260833"
"0.45";"-0.270833"
"0.4";"-0.277083"
"0.35";"-0.2825"
"0.3";"-0.286667"
"0.25";"-0.293333"
"0.2";"-0.30125"
"0.15";"-0.309167"
"0.1";"-0.31625"
"0.05";"-0.32125"
"0";"-0.3275"
"-0.05";"-0.33375"
"-0.1";"-0.3425"
"-0.15";"-0.35"
"-0.2";"-0.358333"
"-0.25";"-0.3675"
"-0.3";"-0.378333"
"-0.35";"-0.3875"
"-0.4";"-0.39625"
"-0.45";"-0.405"
"-0.5";"-0.415"
"-0.55";"-0.427917"
"-0.6";"-0.444583"
"-0.65";"-0.47"
"-0.7";"-0.499583"
"-0.75";"-0.527917"
"-0.8";"-0.5425"
"-0.85";"-0.545417"
"-0.9";"-0.54"
"-0.95";"-0.535417"
"-1";"-0.532083"
"-1.05";"-0.5325"
"-1.1";"-0.536667"
"-1.15";"-0.542917"
"-1.2";"-0.550417"
"-1.25";"-0.559583"
"-1.3";"-0.569583"
"-1.35";"-0.580833"
"-1.4";"-0.590833"
"-1.45";"-0.6025"
"-1.5";"-0.615833"
"-1.55";"-0.63375"
"-1.6";"-0.651667"
"-1.65";"-0.67"
"-1.7";"-0.685417"
"-1.75";"-0.702083"
"-1.8";"-0.7175"
"-1.85";"-0.734583"
"-1.9";"-0.752917"
"-1.95";"-0.771667"
"-2";"-0.792083"
"-2.05";"-0.81375"
"-2.1";"-0.838333"
"-2.15";"-0.86875"
"-2.2";"-0.906667"
"-2.25";"-0.95875"
"-2.3";"-1.029167"
"-2.35";"-1.120417"
"-2.4";"-1.223333"
"-2.45";"-1.32625"
"-2.5";"-1.42375"
"-2.45";"-1.01875"
"-2.4";"-0.725833"
"-2.35";"-0.561667"
"-2.3";"-0.462083"
"-2.25";"-0.402917"
"-2.2";"-0.372917"
"-2.15";"-0.352083"
"-2.1";"-0.33625"
"-2.05";"-0.320417"
"-2";"-0.305833"
"-1.95";"-0.29375"
"-1.9";"-0.280417"
"-1.85";"-0.26875"
"-1.8";"-0.254583"
"-1.75";"-0.242083"
"-1.7";"-0.23125"
"-1.65";"-0.22125"
"-1.6";"-0.2125"
"-1.55";"-0.2025"
"-1.5";"-0.194167"
"-1.45";"-0.185"
"-1.4";"-0.177083"
"-1.35";"-0.169167"
"-1.3";"-0.162917"
"-1.25";"-0.1575"
"-1.2";"-0.15375"
"-1.15";"-0.15"
"-1.1";"-0.144583"
"-1.05";"-0.134583"
"-1";"-0.124583"
"-0.95";"-0.112083"
"-0.9";"-0.101667"
"-0.85";"-0.085833"
"-0.8";"-0.0625"
"-0.75";"-0.028333"
"-0.7";"0.005833"
"-0.65";"0.03"
"-0.6";"0.04125"
"-0.55";"0.049583"
"-0.5";"0.057917"
"-0.45";"0.066667"
"-0.4";"0.072083"
"-0.35";"0.078333"
"-0.3";"0.084167"
"-0.25";"0.09"
"-0.2";"0.09625"
"-0.15";"0.10375"
"-0.1";"0.11125"
"-0.05";"0.1175"
"0";"0.12375"
