"i400sN1_1#040"
""
"Potential (V)";"Current (uA)"
"0";"0.15625"
"0.05";"0.182917"
"0.1";"0.20625"
"0.15";"0.224167"
"0.2";"0.24"
"0.25";"0.254167"
"0.3";"0.26875"
"0.35";"0.283333"
"0.4";"0.29875"
"0.45";"0.315"
"0.5";"0.331667"
"0.55";"0.348333"
"0.6";"0.36625"
"0.65";"0.384583"
"0.7";"0.404167"
"0.75";"0.425"
"0.8";"0.45125"
"0.85";"0.486667"
"0.9";"0.522917"
"0.95";"0.550833"
"1";"0.565"
"1.05";"0.571667"
"1.1";"0.577083"
"1.15";"0.5825"
"1.2";"0.58875"
"1.25";"0.59625"
"1.3";"0.604583"
"1.35";"0.614583"
"1.4";"0.62625"
"1.45";"0.640833"
"1.5";"0.65875"
"1.55";"0.68"
"1.6";"0.705417"
"1.65";"0.735"
"1.7";"0.769167"
"1.75";"0.81125"
"1.8";"0.864583"
"1.85";"0.93625"
"1.9";"1.0275"
"1.95";"1.1325"
"2";"1.249167"
"2.05";"1.380417"
"2.1";"1.539167"
"2.15";"1.73875"
"2.2";"1.995417"
"2.25";"2.32625"
"2.3";"2.751667"
"2.35";"3.29375"
"2.4";"3.989167"
"2.45";"4.8625"
"2.5";"5.86625"
"2.45";"3.593333"
"2.4";"2.107917"
"2.35";"1.486667"
"2.3";"1.162083"
"2.25";"0.966667"
"2.2";"0.835833"
"2.15";"0.740417"
"2.1";"0.6675"
"2.05";"0.6075"
"2";"0.55375"
"1.95";"0.505"
"1.9";"0.460833"
"1.85";"0.422917"
"1.8";"0.387083"
"1.75";"0.352917"
"1.7";"0.319167"
"1.65";"0.287917"
"1.6";"0.257083"
"1.55";"0.227083"
"1.5";"0.1975"
"1.45";"0.16875"
"1.4";"0.14"
"1.35";"0.11125"
"1.3";"0.083333"
"1.25";"0.055"
"1.2";"0.026667"
"1.15";"-0.003333"
"1.1";"-0.0325"
"1.05";"-0.063333"
"1";"-0.097083"
"0.95";"-0.135417"
"0.9";"-0.17625"
"0.85";"-0.215833"
"0.8";"-0.252083"
"0.75";"-0.282917"
"0.7";"-0.307917"
"0.65";"-0.328333"
"0.6";"-0.345417"
"0.55";"-0.360417"
"0.5";"-0.37375"
"0.45";"-0.386667"
"0.4";"-0.399167"
"0.35";"-0.411667"
"0.3";"-0.42375"
"0.25";"-0.435833"
"0.2";"-0.447917"
"0.15";"-0.460417"
"0.1";"-0.473333"
"0.05";"-0.4875"
"0";"-0.502917"
"-0.05";"-0.52"
"-0.1";"-0.538333"
"-0.15";"-0.557917"
"-0.2";"-0.580417"
"-0.25";"-0.606667"
"-0.3";"-0.637917"
"-0.35";"-0.6775"
"-0.4";"-0.72625"
"-0.45";"-0.782083"
"-0.5";"-0.841667"
"-0.55";"-0.910417"
"-0.6";"-0.991667"
"-0.65";"-1.076667"
"-0.7";"-1.164583"
"-0.75";"-1.267083"
"-0.8";"-1.37"
"-0.85";"-1.439583"
"-0.9";"-1.451667"
"-0.95";"-1.427917"
"-1";"-1.395"
"-1.05";"-1.365833"
"-1.1";"-1.341667"
"-1.15";"-1.324583"
"-1.2";"-1.311667"
"-1.25";"-1.303333"
"-1.3";"-1.296667"
"-1.35";"-1.2925"
"-1.4";"-1.290833"
"-1.45";"-1.291667"
"-1.5";"-1.294583"
"-1.55";"-1.2975"
"-1.6";"-1.302083"
"-1.65";"-1.3075"
"-1.7";"-1.314583"
"-1.75";"-1.324583"
"-1.8";"-1.339167"
"-1.85";"-1.358333"
"-1.9";"-1.382083"
"-1.95";"-1.409167"
"-2";"-1.438333"
"-2.05";"-1.468333"
"-2.1";"-1.499583"
"-2.15";"-1.532917"
"-2.2";"-1.570417"
"-2.25";"-1.616667"
"-2.3";"-1.6725"
"-2.35";"-1.730833"
"-2.4";"-1.785417"
"-2.45";"-1.84"
"-2.5";"-1.89875"
"-2.45";"-1.569583"
"-2.4";"-1.332917"
"-2.35";"-1.197917"
"-2.3";"-1.104583"
"-2.25";"-1.0325"
"-2.2";"-0.97625"
"-2.15";"-0.929167"
"-2.1";"-0.888333"
"-2.05";"-0.850417"
"-2";"-0.81375"
"-1.95";"-0.777917"
"-1.9";"-0.743333"
"-1.85";"-0.710417"
"-1.8";"-0.677917"
"-1.75";"-0.645833"
"-1.7";"-0.614167"
"-1.65";"-0.584583"
"-1.6";"-0.556667"
"-1.55";"-0.529167"
"-1.5";"-0.502917"
"-1.45";"-0.478333"
"-1.4";"-0.456667"
"-1.35";"-0.436667"
"-1.3";"-0.418333"
"-1.25";"-0.401667"
"-1.2";"-0.385417"
"-1.15";"-0.370417"
"-1.1";"-0.355417"
"-1.05";"-0.34125"
"-1";"-0.32625"
"-0.95";"-0.30875"
"-0.9";"-0.281667"
"-0.85";"-0.22375"
"-0.8";"-0.100833"
"-0.75";"0.062917"
"-0.7";"0.195"
"-0.65";"0.244167"
"-0.6";"0.23"
"-0.55";"0.2075"
"-0.5";"0.193333"
"-0.45";"0.187083"
"-0.4";"0.185"
"-0.35";"0.18625"
"-0.3";"0.189167"
"-0.25";"0.193333"
"-0.2";"0.198333"
"-0.15";"0.20375"
"-0.1";"0.21"
"-0.05";"0.216667"
"0";"0.22375"
