"i400sN1_1#020"
""
"Potential (V)";"Current (uA)"
"0";"0.1625"
"0.05";"0.20375"
"0.1";"0.238333"
"0.15";"0.264583"
"0.2";"0.28625"
"0.25";"0.304167"
"0.3";"0.32"
"0.35";"0.334583"
"0.4";"0.349167"
"0.45";"0.36375"
"0.5";"0.379167"
"0.55";"0.395"
"0.6";"0.41125"
"0.65";"0.427917"
"0.7";"0.446667"
"0.75";"0.467917"
"0.8";"0.4975"
"0.85";"0.538333"
"0.9";"0.582917"
"0.95";"0.62"
"1";"0.642917"
"1.05";"0.660833"
"1.1";"0.68"
"1.15";"0.702083"
"1.2";"0.7275"
"1.25";"0.754167"
"1.3";"0.782917"
"1.35";"0.813333"
"1.4";"0.847083"
"1.45";"0.885"
"1.5";"0.92625"
"1.55";"0.973333"
"1.6";"1.027083"
"1.65";"1.090417"
"1.7";"1.159167"
"1.75";"1.236667"
"1.8";"1.32"
"1.85";"1.412083"
"1.9";"1.5125"
"1.95";"1.625833"
"2";"1.756667"
"2.05";"1.910417"
"2.1";"2.095"
"2.15";"2.32125"
"2.2";"2.601667"
"2.25";"2.947917"
"2.3";"3.376667"
"2.35";"3.904583"
"2.4";"4.55"
"2.45";"5.314167"
"2.5";"6.1575"
"2.45";"3.821667"
"2.4";"2.316667"
"2.35";"1.7125"
"2.3";"1.401667"
"2.25";"1.210417"
"2.2";"1.077083"
"2.15";"0.975"
"2.1";"0.892083"
"2.05";"0.822083"
"2";"0.759167"
"1.95";"0.701667"
"1.9";"0.648333"
"1.85";"0.5975"
"1.8";"0.5475"
"1.75";"0.498333"
"1.7";"0.45"
"1.65";"0.40375"
"1.6";"0.359167"
"1.55";"0.315417"
"1.5";"0.2725"
"1.45";"0.230833"
"1.4";"0.19"
"1.35";"0.149583"
"1.3";"0.108333"
"1.25";"0.068333"
"1.2";"0.028333"
"1.15";"-0.01125"
"1.1";"-0.051667"
"1.05";"-0.094583"
"1";"-0.140417"
"0.95";"-0.192083"
"0.9";"-0.2475"
"0.85";"-0.30375"
"0.8";"-0.355"
"0.75";"-0.39875"
"0.7";"-0.435417"
"0.65";"-0.465833"
"0.6";"-0.490833"
"0.55";"-0.513333"
"0.5";"-0.535"
"0.45";"-0.5575"
"0.4";"-0.580417"
"0.35";"-0.603333"
"0.3";"-0.628333"
"0.25";"-0.65375"
"0.2";"-0.680417"
"0.15";"-0.707083"
"0.1";"-0.735"
"0.05";"-0.764167"
"0";"-0.792917"
"-0.05";"-0.8225"
"-0.1";"-0.851667"
"-0.15";"-0.882917"
"-0.2";"-0.914167"
"-0.25";"-0.946667"
"-0.3";"-0.97875"
"-0.35";"-1.010833"
"-0.4";"-1.040417"
"-0.45";"-1.06625"
"-0.5";"-1.087917"
"-0.55";"-1.109167"
"-0.6";"-1.13125"
"-0.65";"-1.15375"
"-0.7";"-1.172917"
"-0.75";"-1.185417"
"-0.8";"-1.19"
"-0.85";"-1.187917"
"-0.9";"-1.181667"
"-0.95";"-1.174583"
"-1";"-1.1675"
"-1.05";"-1.162917"
"-1.1";"-1.160833"
"-1.15";"-1.160833"
"-1.2";"-1.162083"
"-1.25";"-1.164583"
"-1.3";"-1.168333"
"-1.35";"-1.17375"
"-1.4";"-1.179583"
"-1.45";"-1.186667"
"-1.5";"-1.195833"
"-1.55";"-1.2075"
"-1.6";"-1.219167"
"-1.65";"-1.229167"
"-1.7";"-1.237917"
"-1.75";"-1.249167"
"-1.8";"-1.262917"
"-1.85";"-1.279167"
"-1.9";"-1.298333"
"-1.95";"-1.320417"
"-2";"-1.34625"
"-2.05";"-1.375417"
"-2.1";"-1.407917"
"-2.15";"-1.443333"
"-2.2";"-1.48125"
"-2.25";"-1.523333"
"-2.3";"-1.57"
"-2.35";"-1.6225"
"-2.4";"-1.680417"
"-2.45";"-1.74625"
"-2.5";"-1.8175"
"-2.45";"-1.467917"
"-2.4";"-1.219167"
"-2.35";"-1.083333"
"-2.3";"-0.991667"
"-2.25";"-0.922083"
"-2.2";"-0.866667"
"-2.15";"-0.819583"
"-2.1";"-0.77875"
"-2.05";"-0.740833"
"-2";"-0.705417"
"-1.95";"-0.6725"
"-1.9";"-0.640417"
"-1.85";"-0.609167"
"-1.8";"-0.57875"
"-1.75";"-0.54875"
"-1.7";"-0.519167"
"-1.65";"-0.489167"
"-1.6";"-0.459167"
"-1.55";"-0.43"
"-1.5";"-0.401667"
"-1.45";"-0.37625"
"-1.4";"-0.3525"
"-1.35";"-0.329583"
"-1.3";"-0.307917"
"-1.25";"-0.2875"
"-1.2";"-0.267917"
"-1.15";"-0.248333"
"-1.1";"-0.229583"
"-1.05";"-0.212083"
"-1";"-0.195"
"-0.95";"-0.176667"
"-0.9";"-0.154583"
"-0.85";"-0.120417"
"-0.8";"-0.061667"
"-0.75";"0.015833"
"-0.7";"0.085833"
"-0.65";"0.125417"
"-0.6";"0.135417"
"-0.55";"0.135833"
"-0.5";"0.137083"
"-0.45";"0.1425"
"-0.4";"0.14875"
"-0.35";"0.15625"
"-0.3";"0.162917"
"-0.25";"0.17125"
"-0.2";"0.18"
"-0.15";"0.190417"
"-0.1";"0.20125"
"-0.05";"0.212917"
"0";"0.225"
